SampleID	Batch_MG	Batch_MT	Batch_mRNA	Strain	Age	Age_group	Diet	Sex	GxD	Body_weight	QuadricepsWeight	SoleusWeight	Class	AgeC	HDL	LDL	TotalChol	ALT	ASAT	ALToverASAT	Creatinine	CreatineKinase	Glucose	LDH	Triglycerides	Bilirubin	FFA	BileAcids	Lactate	Protein	ALPL	Iron	Amylase	TIMEonDIET	Diet_StartYear	Diet_StartMonth	SampleID2	SacDate	SacDate_Year	SacDate_Month	DateOfBirth	DateOfDeath
C248	batch2			BXD64	366	AG2	HF	F	BXD64_HF	59.23	0.1583	0.0179	HF_Y	Young	3.18	0.32	3.5	76	174	0.44	0	486	9.2	1654	0.55	0	0.3	2.1	9	64.2	103	40.7	842	258	2013	8	C_248	23/04/2014	2014	4	22.04.13	23.04.14
C249	batch2			BXD40	362	AG2	CD	F	BXD40_CD	24.92	0.1296	0.0161	CD_Y	Young	1.64	0.1	1.6	57	175	0.33	0	975	12.2	654	0.3	0	0.68	5.2	7.9	41.4	261	21.9	655	257	2013	8	C_249	22/04/2014	2014	4	25.04.13	22.04.14
C250	batch2			BXD48a	351	AG2	HF	F	BXD48a_HF	45.3		0.0212	HF_Y	Young	2.98	0.18	3.1	139	272	0.51	10	355	16.3	458	0.39	2.1	0.43	5.7	6.8	49.6	73	27.1	962	206	2012	2	C_250	6/9/12	2012	9	21.09.11	06.09.12
C251	batch2			BXD102	354	AG2	CD	F	BXD102_CD	28.6		0.012	CD_Y	Young	2.18	0.22	2.3	248	460	0.54	19	1665	15.8	756	0.71	4.6	0.99	81.3	11.3	50.8	166	30.7	1215	209	2012	2	C_251	6/9/12	2012	9	18.09.11	06.09.12
C252	batch2			BXD73b	377	AG2	CD	F	BXD73b_CD	32.3		0.0091	CD_Y	Young	0.39	0.1	0.7	41	427	0.1	0	597	8	427	0.29	0.3	0.05	22.8	5.5	18.8	51	11	415	206	2012	2	C_252	6/9/12	2012	9	26.08.11	06.09.12
C253	batch2			BXD70	710	AG4	HF	F	BXD70_HF	36.68	0.127	0.005	HF_O	Old	1.19	0.46	1.5	141	187	0.75	10	107	7.3	581	0.07	0	0.68	108.9	4.7	49.2	181	19.7	935	611	2012	2	C_253	16/10/2013	2013	10	06.11.11	16.10.13
C254	batch2			BXD70	239	AG1	HF	F	BXD70_HF	52.18			HF_Y	Young	3.17	0.32	3.3	228	1292	0.18	28	0	13.2	2948	0.91	0	1.15	27.8	7.1	50.8	114	30.9	1125	87	2012	2	C_254	10/5/12	2012	5	14.09.11	10.05.12
C256	batch2			C57BL/6J	544	AG3	HF	F	C57BL/6J_HF	76.17	0.1569	0.0094	HF_O	Old	3.69	0.48	4.8	327	464	0.7	5	1845	12.9	1668	0.62	0.3	0.74	14.3	12.2	56.6	94	20.3	1182	335	2012	7	C_256	20/06/2013	2013	6	24.12.11	20.06.13
C257	batch2			C57BL/6J	351	AG2	HF	F	C57BL/6J_HF	54.46	0.1375		HF_Y	Young	3.08	0.17	3.2	199	301	0.66	14	116	15.1	833	0.31	0	0.63	15.2	6.4	58.5	75	23.7	1045	207	2012	7	C_257	12/2/13	2013	2	27.02.12	12.02.13
C259	batch2			BXD51	348	AG2	CD	F	BXD51_CD	28.57	0.1765		CD_Y	Young	1.42	0.13	1.4	40	73	0.55	2	1514	14.2	460	0.65	0	0.56	4.9	3.3	45.5	102	15	946	206	2012	7	C_259	11/2/13	2013	2	29.02.12	11.02.13
C260	batch2			BXD51	357	AG2	HF	F	BXD51_HF	49.33	0.1774		HF_Y	Young	2.73	0.14	2.9	44	110	0.4	0	63	12.4	266	0.34	0	0.59	10.3	2.7	42.6	94	25.9	782	206	2012	7	C_260	11/2/13	2013	2	20.02.12	11.02.13
C261	batch2			BXD9	548	AG3	HF	F	BXD9_HF	64.44	0.195	0.022	HF_O	Old	2.67	0.1	2.5	29	102	0.28	9	278	11.6	344	0.23	0	0.43	8.9	3.3	51.1	42	37.6	1412	379	2013	8	C_261	22/08/2014	2014	8	20.02.13	22.08.14
C262	batch2			BXD88	716	AG4	CD	F	BXD88_CD	26.36	0.0973	0.023	CD_O	Old	1.87	0.17	1.7	114	175	0.65	0	403	8	660	0	0.4	0.31	15.5	14.6	56.9	145	29.4	931	535	2012	7	C_262	6/1/14	2014	1	21.01.12	06.01.14
C263	batch2			C57BL/6J	359	AG2	CD	F	C57BL/6J_CD	23.06	0.134	0.0144	CD_Y	Young	1.68	0.2	1.6	222	472	0.47	1	5446	11	1428	0.19	0	0.47	14.3	11.5	48.1	83	23.4	835	155	2014	6	C_263	14/11/2014	2014	11	20.11.13	14.11.14
C264	batch2			BXD87	512	AG3	HF	F	BXD87_HF	35.22	0.095	0.024	HF_O	Old																				420	2014	10	C_264	16/12/2015	2015	12	22.07.14	16.12.15
C265	batch2			BXD70	578	AG3	HF	F	BXD70_HF	71.41	0.135	0.02	HF_O	Old																				509	2014	7	C_265	16/12/2015	2015	12	17.05.14	16.12.15
C266	batch2			BXD89	444	AG2	CD	F	BXD89_CD	25.56	0.124	0.018	CD_Y	Young																				313	2015	2	C_266	16/12/2015	2015	12	28.09.14	16.12.15
C267	batch2			BXD9	348	AG2	CD	F	BXD9_CD	49.3		0.016	CD_Y	Young	3.21	0.2	3.4	56	101	0.55	14	312	15.1	344	0.65	1.3	0.59	2.5	5.2	47.6	67	19	1001	204	2012	2	C_267	4/9/12	2012	9	22.09.11	04.09.12
C268	batch2			BXD87	241	AG1	HF	F	BXD87_HF	34.91			HF_Y	Young	2.8	0.17	2.8	102	546	0.19	27	6478	12.7	1125	1.19	0	1.11	6.5	5.7	41.3	98	18.4	1172	87	2012	2	C_268	10/5/12	2012	5	12.09.11	10.05.12
C269	batch2			BXD9	347	AG2	HF	F	BXD9_HF	58.3		0.0169	HF_Y	Young	2.94	0.34	3.8	57	154	0.37	13	410	14.1	213	0.42	0	0.46	3.9	5.5	42.4	56	36.6	830	205	2012	2	C_269	5/9/12	2012	9	24.09.11	05.09.12
C270	batch2			BXD77	353	AG2	HF	F	BXD77_HF	43.5		0.013	HF_Y	Young	0.75	0.16	1.3	44	299	0.15	4	625	8.5	234	0.26	0.2	0.07	48.2	5.4	20.2	49	17.4	334	205	2012	2	C_270	5/9/12	2012	9	18.09.11	05.09.12
