SampleID	Batch_MG	Batch_MT	Batch_mRNA	Strain	Age	Age_group	Diet	Sex	GxD	Body_weight	QuadricepsWeight	SoleusWeight	Class	AgeC	HDL	LDL	TotalChol	ALT	ASAT	ALToverASAT	Creatinine	CreatineKinase	Glucose	LDH	Triglycerides	Bilirubin	FFA	BileAcids	Lactate	Protein	ALPL	Iron	Amylase	TIMEonDIET	Diet_StartYear	Diet_StartMonth	SampleID2	SacDate	SacDate_Year	SacDate_Month	DateOfBirth	DateOfDeath
C169	batch2			BXD68	201	AG1	CD	F	BXD68_CD	28.58	0.144	0.007	CD_Y	Young	2.54	0.18	2.3	101	221	0.46	14	709	14.5	1148	0.37	0	0.47	0.8	8.4	59.1	75	32.7	1749	69	2013	8	C_169	16/10/2013	2013	10	29.03.13	16.10.13
C170	batch2			BXD68	201	AG1	HF	F	BXD68_HF	30.23	0.135	0.009	HF_Y	Young	0.24	0.28	0.4	99	740	0.13	0	2948	4	1865	0.51	5.7	0	12.5	5.4	30	0	25.1	1847	69	2013	8	C_170	16/10/2013	2013	10	29.03.13	16.10.13
C172	batch2	batch3		BXD70	710	AG4	HF	F	BXD70_HF	32.35	0.104	0.006	HF_O	Old	0.79	0.69	1.5	71	226	0.31	0	83	1.7	201	0	2.2	0.45	88.4	4.6	24.8	124	32.4	601	611	2012	2	C_172	16/10/2013	2013	10	06.11.11	16.10.13
C173	batch2			BXD87	200	AG1	CD	F	BXD87_CD	20.6		0.0103	CD_Y	Young	1.76	0.12	1.8	67	515	0.13	7	5427	14.2	556	0.26	0.7	0.66	31.3	7.8	36.2	146	32.1	1247	48	2012	7	C_173	6/9/12	2012	9	19.02.12	06.09.12
C174	batch2	batch3		BXD89	193	AG1	CD	F	BXD89_CD	25.6		0.01	CD_Y	Young	1.62	0.37	2	48	211	0.23	24	332	8.7	824	0.6	3.6	0.57	2.2	10.3	53.8	140	14	992	48	2012	7	C_174	6/9/12	2012	9	26.02.12	06.09.12
C175	batch2			BXD90	549	AG3	CD	F	BXD90_CD	25.52	0.0987	0.0033	CD_O	Old	1.78	0.26	1.6	49	74	0.66	9	81	14.1	279	0	0	0.27	2.9	7.8	47.3	73	15.7	1106	335	2012	7	C_175	20/06/2013	2013	6	19.12.11	20.06.13
C176	batch2			BXD100	374	AG2	CD	F	BXD100_CD	35.23	0.167	0.006	CD_Y	Young	2.32	0.19	2.2	107	110	0.97	17	321	14.8	443	0.01	0	0.83	3.9	10.3	61.5	196	39.6	1034	70	2013	8	C_176	17/10/2013	2013	10	08.10.12	17.10.13
C178	batch2			BXD102	183	AG1	HF	F	BXD102_HF	23.93	0.1583	0.01	HF_Y	Young	1.79	0.19	2	69	195	0.35	13	866	11.6	563	0.48	0	0.36	0.4	7.1	41.2	72	18.7	826	137	2014	1	C_178	30/05/2014	2014	5	28.11.13	30.05.14
C179	batch2			BXD48	405	AG2	CD	F	BXD48_CD	22.28			CD_Y	Young	1.46	0.23	1.8	109	655	0.17	29	3139	6.8	1687	0.39	0	0.32	7.4	9.8	44.4	238	22.2	755	86	2012	2	C_179	9/5/12	2012	5	31.03.11	09.05.12
C180	batch2			BXD48	518	AG3	CD	F	BXD48_CD	28.88	0.162	0.019	CD_O	Old																				419	2014	10	C_180	15/12/2015	2015	12	15.07.14	15.12.15
