taxonomy	C001	C008	C009	C010	C011	C014	C015	C016	C018	C019	C020	C021	C022	C023	C024	C025	C026	C027	C028	C029	C030	C031	C032	C033	C034	C035	C036	C037	C038	C039	C040	C041	C042	C043	C044	C045	C046	C047	C048	C049	C050	C051	C052	C053	C054	C055	C056	C057	C058	C059	C060	C061	C062	C063	C064	C065	C066	C067	C068	C069	C070	C071	C072	C073	C074	C076	C078	C079	C080	C081	C082	C084	C085	C086	C088	C089	C091	C092	C093
k__Bacteria	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
k__Bacteria|p__Firmicutes	52.76438	80.90782	66.06495	63.93981	63.35926	50.20045	75.20182	79.46308	75.09812	73.98152	76.48518	71.13915	58.5704	45.49364	54.42918	77.57278	79.07556	57.12666	51.85637	57.07926	63.04915	77.82571	76.48307	78.92883	79.19119	74.04085	73.48296	78.79117	66.77076	78.50702	82.57075	80.59658	71.91796	79.33853	59.59321	76.21844	70.79881	83.46372	73.59682	77.4402	78.43766	73.7436	61.58344	79.95747	55.79803	61.30041	63.25342	76.24759	90.88528	73.42221	59.20915	66.65447	60.76685	68.96419	59.88358	49.75524	68.4111	48.35528	68.40349	63.34402	85.16197	77.0339	80.82415	75.4592	69.68355	63.02677	86.86277	82.2629	75.56207	77.96341	68.40337	78.67242	54.29768	65.51953	71.20825	72.09488	78.53325	73.35365	81.44821
k__Bacteria|p__Bacteroidetes	23.61067	6.31832	6.77082	22.2057	23.83773	28.95504	6.75345	3.82512	6.64912	7.29761	5.92661	16.45441	24.86602	34.43362	21.53561	0.88965	4.53949	23.80476	22.73295	26.78852	21.28819	7.04158	6.76258	8.25161	4.54075	8.28306	15.09966	8.54786	13.29624	2.56916	1.72731	5.82752	16.41804	5.11868	13.38754	10.17771	10.96212	3.72667	14.65441	7.55086	2.38667	7.81097	19.42098	4.90912	23.11995	19.99244	15.44723	12.66819	1.08124	6.54969	17.19505	12.33491	14.92689	11.82307	24.16273	30.68056	11.54009	8.82662	11.26319	12.38401	1.72924	15.37689	8.83354	12.41602	15.13363	27.50531	1.51224	4.17597	13.11925	10.29118	9.41815	9.4138	15.16111	9.72152	6.63921	9.11465	11.54593	18.1563	6.50244
k__Bacteria|p__Proteobacteria	10.12321	1.2333	4.38242	1.80843	4.7145	3.65314	2.23625	1.51208	0.79253	2.58024	0.88958	2.39812	1.75181	7.37194	3.18292	0.6821	2.34084	1.99115	3.89434	6.22546	1.96783	4.30561	6.39247	1.19438	1.00052	2.19319	3.3452	7.83117	4.31456	0.65679	0.95577	1.90171	0	1.62879	2.56248	3.01238	7.14811	6.8897	5.01266	3.39436	0.87407	2.49732	3.15937	1.79723	6.32771	5.07457	18.70288	1.41921	4.2454	3.35513	2.06014	1.77256	3.18347	3.20537	2.81937	2.015	1.21563	23.67073	3.02911	9.33078	1.23787	1.96113	2.7594	5.53505	0.51759	3.84002	2.32124	2.65591	1.44202	2.38668	2.24209	1.84387	19.83571	17.75359	4.14102	3.64263	4.35681	0.92912	2.97917
k__Bacteria|p__Deferribacteres	7.89477	0	0	0	4.43859	0	0	0	1.5314	0	0	0	0	2.85902	4.42737	0.28165	1.39655	0.03012	0	0	0	0	5.96437	0.89006	1.93726	1.25151	0	0	7.77745	1.01773	0	0	0	1.25916	4.74552	4.15455	0	0	2.19706	0	2.21478	2.94931	0	2.29602	0	0.54322	0	6.79254	0	1.82696	0	0	0	3.18943	6.25499	0	5.58357	13.13992	2.10534	1.17567	0.7199	0	0.70127	1.08884	0	0	1.05119	0.90898	0	3.1938	0	5.47572	0	0	1.02722	1.05013	0	0	0
k__Bacteria|p__Bacteria_unclassified	5.60697	10.55507	22.75965	11.22292	3.61614	2.13668	13.94148	13.20217	14.31865	16.014	16.39444	9.96168	14.77868	9.83804	16.37123	18.44668	10.03326	17.00928	21.32373	9.90676	7.75592	9.12096	3.70431	10.71929	13.04159	14.11706	4.5769	4.80112	7.66368	13.61753	13.38109	5.04197	11.63203	11.72865	18.37253	6.2973	9.3351	5.8718	3.79118	10.84922	12.25638	8.93596	5.72485	11.00579	9.05995	12.87488	2.58527	2.12937	3.59093	14.4753	21.43099	18.99913	5.58373	10.4224	3.83246	7.77776	13.06519	5.75375	12.75717	4.22787	10.91537	5.545	6.5908	5.12617	3.28005	4.87282	7.8209	9.57207	9.80577	5.70691	18.80487	4.52791	7.81717	3.61155	15.59235	13.65889	5.5433	6.76891	7.84746
k__Bacteria|p__Firmicutes|c__Clostridia	41.35027	39.30592	49.29172	35.72028	41.30582	15.94733	26.71553	53.59105	42.38339	38.11986	24.00153	49.17194	48.1632	38.34151	34.66773	37.68088	24.26266	38.95851	25.83532	34.46218	29.52138	23.69746	58.76606	33.18067	44.28919	34.81318	50.79147	61.72135	52.49141	29.46791	33.23668	60.79425	40.12373	26.8054	36.25939	54.31347	33.73673	58.83272	56.90339	26.16395	23.22687	34.69475	35.62786	33.0049	22.18947	38.13786	43.48844	53.68389	70.64963	36.48284	34.46495	20.81057	24.25821	31.8859	34.03212	36.53338	19.1383	34.128	15.99723	38.03265	49.47532	58.7915	44.13158	44.45135	44.79597	35.45743	48.14422	39.22103	61.34548	47.58665	25.2615	60.12681	32.03763	33.39023	25.78974	27.58076	44.05867	58.65503	74.16645
k__Bacteria|p__Bacteroidetes|c__CFGB76719	10.18042	0.69858	3.73642	0.01261	4.24471	4.17418	0.48148	0	0.21814	0	0.47233	5.15439	0	0	0	0.07014	0	6.72733	0.68131	0	1.47033	0.99333	2.73361	0.69385	0.90643	0.66939	0	4.63955	2.0064	0	0.44626	0	0	1.22438	0	0	0.48249	0	6.88816	2.08298	0	0	2.63963	1.51398	2.78273	2.42128	8.90046	6.0995	0	3.14367	0	0.00122	0.07792	0	7.53469	5.13935	0.17171	1.10381	0.51676	4.58865	0.43537	9.71012	2.66576	0.06339	0	0	0.4617	0.70063	2.03292	0	0	0.60009	3.7387	1.68937	0.91005	2.13322	7.29787	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	9.02789	4.9701	2.65936	20.48077	16.62127	22.23323	5.33164	3.24591	5.88386	5.07932	4.86363	10.11819	24.49446	33.08117	20.511	0.59217	3.77801	14.67507	20.02049	26.20251	16.98117	4.92778	2.14584	6.6272	2.68954	6.21077	14.32969	2.22979	11.25897	2.27195	1.0292	4.86929	15.40006	2.71724	12.86638	9.44282	9.66904	2.48166	7.71779	4.09254	2.1302	6.81827	15.18313	2.26178	17.66222	12.41959	2.57472	6.41721	0.40347	1.87747	15.33802	10.84871	12.68336	10.3237	16.25859	23.80297	11.1677	5.8889	10.60381	6.67773	0.85169	5.06107	5.75365	10.89603	15.08402	25.63424	0.88223	2.82129	10.59775	8.3439	8.23568	8.066	8.44404	5.34856	4.89266	5.56502	2.99544	17.33779	5.16621
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	8.26872	0	0	0	0.72634	0.02831	0.59678	0	0	0	0	0	0	5.26442	0.04051	0.12843	0	0	0	4.1984	0.00385	3.33433	0.02182	0.85116	0.40158	0	0	6.6951	3.75669	0	0	0	0	0.72827	0	1.80579	5.73354	3.84667	4.18075	2.11297	0	0	0	1.06896	0	0.76708	17.23627	0.00068	3.92919	2.78214	0	0	0	0	0	0	0	12.06848	0	5.82193	0.43698	0	1.77087	3.00625	0	0	2.08396	0.94332	0	0	0	0	14.40091	15.37932	1.57596	1.80518	0	0	0
k__Bacteria|p__Deferribacteres|c__Deferribacteres	7.89477	0	0	0	4.43859	0	0	0	1.5314	0	0	0	0	2.85902	4.42737	0.28165	1.39655	0.03012	0	0	0	0	5.96437	0.89006	1.93726	1.25151	0	0	7.77745	1.01773	0	0	0	1.25916	4.74552	4.15455	0	0	2.19706	0	2.21478	2.94931	0	2.29602	0	0.54322	0	6.79254	0	1.82696	0	0	0	3.18943	6.25499	0	5.58357	13.13992	2.10534	1.17567	0.7199	0	0.70127	1.08884	0	0	1.05119	0.90898	0	3.1938	0	5.47572	0	0	1.02722	1.05013	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76293	6.29725	2.98984	12.46837	14.52994	0.48838	0.0822	0.61282	4.83749	2.55203	10.04824	1.76381	1.92927	4.58912	0.07132	5.46791	1.00398	0.76504	0.72937	0.82452	6.7141	0.24519	0.49037	5.09525	1.69236	2.43233	0.84118	2.00457	11.62546	2.72933	0.9484	2.10987	5.37292	0.2745	1.48736	7.69729	4.61908	0.55031	3.21639	2.67233	0.28709	1.26691	0.58367	4.37922	2.69683	2.42515	0.40021	12.19296	7.65446	0.3461	1.80518	3.74839	0.4525	0.60496	0.86338	7.0521	4.17024	0.01753	0.59314	2.04153	8.14302	0.34525	5.21631	0.24969	7.25011	3.21985	3.67446	0.41585	0.25204	3.94798	8.04811	2.6731	0.90905	0.59173	0.65684	0.96499	1.07019	4.80425	1.72408	3.17602
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064	4.27595	4.78121	21.48646	7.87436	2.14524	0.2531	3.04943	11.33315	3.36318	13.88478	5.68498	8.20517	12.77278	3.28713	13.5	5.67417	0.82187	6.58688	1.24859	9.79927	0.95497	1.82064	2.06621	1.27043	2.59789	4.38546	1.57889	2.82931	7.03106	2.43296	3.87622	3.71297	9.29566	1.52904	14.87488	4.88822	0.42359	4.65263	3.32256	3.85965	1.27675	0.73077	4.50875	3.50664	4.85792	2.84551	1.27579	0.96264	0.94068	2.84631	20.19485	1.74964	0.71569	1.41471	1.82688	5.59333	2.2869	2.53469	2.5479	1.48458	2.86884	1.74949	0.75348	2.21553	1.80071	2.74053	2.50225	2.171	7.79473	3.55138	7.94213	1.83855	1.09929	0.15126	9.15027	5.39785	3.6519	3.84435	5.28319
k__Bacteria|p__Bacteroidetes|c__CFGB76004	3.69241	0	0	0	0	0	0.25496	0	0.27665	0	0	0	0	0	0	0.15638	0	0	0.8055	0	1.43499	0.48793	0.93367	0.83387	0.73947	0.736	0	1.12801	0	0	0	0	0	0.75597	0	0	0	0	0	0.80792	0	0	0	1.00522	0	0.6032	2.70886	0	0.67777	1.28791	0	0	0	0	0	0	0.02559	0	0	0.49241	0.20909	0	0	0	0	0	0.06397	0	0	0	0	0	1.34603	0.89116	0	0	0.38119	0	0
k__Bacteria|p__Firmicutes|c__Bacilli	2.04425	4.55813	0.56253	4.24532	4.34786	7.2626	2.69082	0.55841	3.2009	1.19558	3.90799	4.35255	0.59488	2.13842	1.25244	9.91409	3.08166	6.93127	11.85034	0.64711	5.11853	6.9728	4.22205	5.34587	1.6774	3.05918	1.95171	2.06378	2.9098	3.84567	6.29409	0.90379	10.21734	3.27629	3.46765	2.8447	6.01318	3.98111	10.42442	20.4113	6.23992	4.36686	9.63549	6.60984	5.22884	4.06442	3.10204	4.01769	5.27731	4.48637	1.48383	4.80701	1.03103	6.79587	1.34609	3.10592	2.30611	1.4938	1.92056	4.42644	4.99529	1.07467	5.22462	4.61331	0.14456	3.18642	1.27648	1.19222	1.67489	9.60846	6.08456	2.52689	2.48112	1.51052	8.61355	10.86026	3.76138	4.39152	1.04155
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1.8545	0.46008	0.28092	1.37441	3.42001	3.22363	0.35047	1.15592	0.29551	1.89122	0.40891	1.22497	1.26207	1.95526	2.36774	0.34098	1.06294	0	0.58464	1.47479	0.37055	0.32887	0.85291	0.22589	0.21924	0.46658	1.63106	0.96834	0.55788	0.53488	0.41422	1.27593	0	0.41777	1.67943	0.93259	0.80773	1.99803	0.83053	0.51223	0.59115	0.61673	2.11081	0.27501	0.78704	3.46733	1.31197	0.71087	0.16448	0.30829	1.42409	0.68685	2.26527	1.14839	0.53316	1.00133	0.04437	5.13489	0.67154	0.40066	0.13284	0.5019	0.66524	2.03451	0.4224	2.27202	0.06208	0.85266	0.68666	0.69823	1.13596	1.21361	0.67571	0.10208	0.88784	0.70009	1.23111	0.91034	0.96664
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	0.98155	2.63089	0.67712	1.24057	1.21951	1.88359	6.65124	1.07916	6.5042	1.23983	7.21173	0.98272	1.19622	6.28645	0.88506	5.47448	7.02056	1.93466	7.50964	0.05429	3.82636	5.37748	1.23391	7.71012	7.60752	5.68089	1.26837	1.00717	0.03015	7.61515	6.16888	0.74946	0.70654	7.14485	1.43175	0.90061	7.25046	0.7805	0.29658	3.44827	7.61416	5.27712	0.58944	5.52551	2.90398	4.00199	0.91599	0.83878	2.12486	6.33601	0.65725	12.77017	2.82472	6.31263	1.59187	0.81292	8.25306	1.61757	4.13334	2.05565	5.73026	2.51588	3.87843	1.19153	0.73159	0.85779	2.75722	4.51953	1.4257	1.26166	8.72591	1.30827	3.58624	1.72252	3.73924	5.76855	1.25877	1.92214	1.71091
k__Bacteria|p__Firmicutes|c__CFGB76790	0.84303	0	0.01027	1.39048	0.19287	0	0.09697	0.14781	0.04091	0.32837	0	0.2585	0.06265	0.26015	0.61167	0.02771	0.01684	0.02816	0.13775	0.15186	0.02586	0.00351	0.07691	0.00101	0.00306	0	0.20788	0.11054	0.00865	0.00766	0	0.29589	2.54323	0.00473	1.25235	0.6799	0.003	0.06434	0.20022	0	0	0.09109	0.2469	0.003	0	0	0.42733	0.3178	0	0.01866	0.05968	0.00979	0.0275	0.13312	0.17077	0.34164	0	0	0.31459	0.28345	0	0.38057	0.08484	1.95539	0.01201	0.53561	0.00477	0.00769	0.04189	0.41758	0.06295	0.22689	0.02479	0.01534	0	0.05223	0.36863	0.35746	0.31823
k__Bacteria|p__Firmicutes|c__CFGB1814	0.32202	0.04141	0	0	0	0	0.05352	0	0.04297	0	0.01018	0.0556	0.20933	0.03696	0	0.0178	0	0.0715	0.05542	0	0.18486	0.07489	0	0.00919	0.0388	0.08126	0	0.09395	0	0.0293	0.01742	0	0	0.02697	0	0	0	0.04802	0	0.13091	0.01988	0	0	0.01273	0	0.0549	0.23592	0	0	0.00427	0	0	0	0	0	0	0.00123	0	0.08323	0.35012	0.01915	0	0.03201	0.07565	0	0	0.00676	0.0381	0	0	0.17483	0.12989	0.07397	0.09128	0.03009	0.03474	0.41016	0	0
k__Bacteria|p__Firmicutes|c__CFGB28877	0.31228	0.532	0.02499	0.10769	0	0.35108	1.05803	0.34552	1.05857	0.29178	1.50151	0.16413	0.15433	0	0	0.23558	1.07447	0.32387	0.35335	0	0.13204	0.38024	0.39707	3.37908	1.21549	2.35959	0.44004	0.04949	0.43897	1.01215	1.30252	0.55668	0.00281	1.83213	0.08483	0.01615	0.92339	0.01764	0	1.2871	1.94202	0.33094	0.0987	2.89097	0	0.2849	0	0	2.8081	1.96215	0.10922	2.71095	1.15746	1.26762	0	0	0	0	1.11082	0.0314	3.38318	0	1.14431	0.18965	1.74706	0.52975	0.90799	1.1933	0.22392	0.12021	3.10537	0.00702	0.24319	3.60907	0.27255	0.36221	0.44189	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB76183	0.24826	0.0695	0	0	0	0.50854	0.00997	0	0.02054	0	0	0.52089	0	0	0	0	0	0	0	0.10475	0	0	0.21958	0.00063	0	0	0	0.36384	0	0	0.03375	0	0	0	0	0	0	0.25034	0	0	0	0	0.49666	0.01655	0	0.02258	0.60257	0	0	0.03084	0	0	0	0	0	0.49477	0	0	0	0.0717	0	0	0	0	0	0	0.00427	0	0.00609	0	0	0	0.01163	0.00923	0	0	0.35319	0	0
k__Bacteria|p__Firmicutes|c__CFGB9827	0.23178	0.04377	0.00946	0.34203	0	0	0.31326	0.16907	0.0883	0.23643	0.06129	0.40367	0.25581	0.78998	0.22364	0.08785	0.28462	0.49635	0.48893	0	0.27387	0.15957	0.20555	0.10921	0.09674	0.26725	0.12298	0.21786	0	0.14134	0.11566	0.31386	0.98367	0.10291	0	0.17325	0.42129	0.07496	0.30256	0.16467	0.14756	0.17713	0.41306	0.06668	0.48968	0.20674	0.18038	0.09541	0.02052	0.07896	0	0.3339	0.14031	0.14124	0.15745	0.39837	0.02346	0.15002	0.30944	0.25885	0.08561	0.22771	0.3088	0.34226	0.11105	0.15743	0.07491	0.22112	0.4266	0.27114	0.22023	0.17808	0.31849	0.03364	0.12232	0.12598	0.30948	0.47429	0.42235
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313	0.19465	1.66177	0.00517	0.94433	0.02599	0	0.50008	0.08558	0.67686	0.23838	0.88797	0.00477	0.18533	0.06292	0.03886	0.61044	0.52531	0.65889	2.93835	0	0.9886	0.46451	0.06051	0.6509	0.68609	0.89127	0.08378	0.13134	0.16855	1.36	1.26078	0.07181	0.74731	1.09354	0.08967	0.05468	0.29279	0.01866	0.00408	0.28585	1.74223	0.82056	0.17597	0.32512	0.52624	0.55222	0.03857	0.10103	0.18064	1.42379	0.02674	1.59399	0.4331	0.40437	0.13066	0.19344	0.19298	0.0164	3.22997	0.23365	0.8544	0.85051	0.47081	0.11433	0.40577	0.05397	0.74814	1.13129	0.00655	0.08229	0.7174	0.16539	0.71628	0.51473	0.96495	0.42879	0.05444	0.00509	0.23853
k__Bacteria|p__Firmicutes|c__Tissierellia	0.19329	0.36487	0	0	0.00313	0	0.13912	0	0.2487	0.1625	0.10034	0.14528	0.00203	0	0	0.1548	0.12854	0	0.04709	0	0.066	0.06377	0	0.1567	0.05788	0.22056	0	0	0	0.05326	0.16515	0	0	0.74617	0.04088	0	0.43765	0.00898	0	0.13496	0.11888	0.06597	0.01663	0.46808	0.0964	0.50995	0	0	0.02609	0.2434	0.04343	0.57473	0.53824	0	0.06225	0	0	0	0	0	0.14362	0	0.12612	1.12013	0	0.00529	0	0.00212	0	0.1482	0.35883	0	0	0	0.04205	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138	0.13733	0.16825	0.56826	0.33113	0.10618	0	0	0.20876	0.02319	0.07434	0.0609	0.2316	0.34186	0.06382	1.31071	0.18567	0.32644	0.6058	0.148	0.0532	0.07585	0.08644	0.20957	0.20207	0.06844	0.1278	0.10701	0.34954	0.34198	0.19003	0.21486	0.2172	0	0.11913	1.426	0.17129	0.0739	0.23613	0.15874	0	0.1298	0.15553	0.16518	0.08491	0	0.04575	0.12194	0.10649	0.03417	0.08598	0.14312	0.24147	0.07761	0.07378	0.11028	0.24531	0.06946	0.12119	0.17099	0.22258	0.14454	0.09143	0.19341	0.42568	0.17759	0.33936	0.05199	0.15514	0.2484	0.42205	0.15819	0.23388	0.0062	0	0.12163	0.12088	0.22082	0.35956	0.16416
k__Bacteria|p__Actinobacteria|c__CFGB4875	0.13323	0.05526	0.05459	0.4482	0.71811	0	0.05532	0.14965	0.04577	0.81061	0.03555	0.17409	0.14046	0.14768	0.47552	0	0.04163	0.30975	0.10335	0.44624	0.15772	0.02257	0.12677	0.00687	0.04759	0.09754	0.26518	0.01851	0	0.02973	0.01508	0.31461	0	0.00872	0.11768	0.10011	0.03132	0.41436	0	0.00667	0	0.10984	0.30942	0	0.06882	0.02564	0.0623	0.11722	0	0.01953	0.61801	0.5727	0.09394	0.21962	0.26114	0.42141	0.02223	0	0.0158	0.1276	0	0.2465	0.00914	0.26945	0	0.22001	0.01259	0.00988	0.16965	0.36672	0.05753	0.11377	0.15436	0.0734	0.01869	0.02783	0.08973	0.8185	1.33623
k__Bacteria|p__Firmicutes|c__CFGB1494	0.12598	0.05244	0	0	0	0	3.39315	0.38131	0.38931	0	0	0.48543	0	0	0	1.87922	0.01291	0.01132	0.02882	0	0.80904	10.00826	0.1544	0.02349	1.59234	2.75597	0.42607	0.02336	0.00548	0.00025	0.2684	0.29492	0	0.10607	0	0	0.13161	0	0	0	1.46	0	0	9.57727	0	0.16912	0	0	0.36465	0.66722	0	0	0.15687	6.23946	0	0	1.61065	0	0	0	1.75601	0	0	0	0.21471	0.483	1.2772	0	0	0	4.6541	0.11151	0.16244	0.26832	0.88869	0.34589	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76074	0.0804	1.27653	0.0062	0.03934	0.20302	0	2.6468	0.27244	1.84317	0.26981	2.3312	0.78622	1.51993	0.72549	1.5283	1.89218	1.39031	1.22615	2.37786	0	2.78161	1.43323	0.85125	0.54772	0.94482	3.60439	0.07337	0.32467	0.46891	2.2105	1.56386	0.25562	0.04861	2.19865	0.85549	0.38016	0.9709	0.13535	0.08811	4.69857	2.27903	1.11625	0.19312	0.44313	2.02742	1.812	0.11039	0.18334	0.33589	0.94132	0.18019	5.31465	0.28146	1.28977	0.05588	0.18023	2.9675	1.16361	3.09061	0.15153	0.71713	0.10953	1.32358	0.53058	0.01487	0	1.97506	1.46954	0.30765	0.22543	2.62399	0.96527	0.37387	0.21327	1.3582	1.64348	0.17618	0.11539	0.0732
k__Bacteria|p__Bacteroidetes|c__CFGB76349	0.07003	0.03186	0.14151	0.59635	0.20553	0.08044	0.07916	0.11518	0.02195	0.5581	0.00706	0.12942	0.08873	0.10709	0.01984	0	0	0	0.07559	0	0.21805	0.02144	0.1577	0	0.02094	0.00338	0	0.03134	0	0.01397	0.01574	0.21927	0	0	0.01637	0.07943	0	0.187	0	0.00305	0	0.06462	0.49626	0	0	0.04914	0.03608	0	0	0.00601	0.27286	0	0.05222	0.1456	0	0.48972	0	0.12068	0	0.0311	0	0	0	0.11721	0	0	0	0	0.06092	0.14184	0.06606	0.06893	0	0	0	0.0029	0.14658	0	0
k__Bacteria|p__Firmicutes|c__CFGB72709	0.0378	0.01017	0	0.10628	0.13733	0	0.00299	0.05764	0	0.06683	0	0.27113	0.10553	0	1.56942	0	0.00371	0	0	0	0	0	0.01385	0	0	0	0.05835	0.05521	0	0.02168	0.02851	0.22629	0	0	1.01089	0	0	0.23792	0	0	0.00054	0.01155	0.1287	0	0	0	0.10178	0	0	0	0.03668	0	0	0	0	0.2223	0	0	0	0.07721	0	0.35827	0	0.45507	0.40671	0.03847	0	0	0	0.6433	0.07444	0.41495	0.0109	0	0	0	0	0.2791	0.38859
k__Bacteria|p__Firmicutes|c__CFGB76234	0.03766	0.16976	0	0	0	0	0	0	0.17975	0	0	0	0	0	0	0.00779	0	0	0	0	1.18316	0.79436	0.06741	0	0.11862	0.0723	0	0.12395	0	0	0.0074	0	0	0.0796	0.00347	0	0.09005	0	0	1.14987	0	0.11266	0.00224	0.05033	0	0.11852	0.09801	0	0.00536	0.00997	0	0	0.01055	0	0	0	0.14814	0	0	0.08593	0	0.11734	0.1823	0.00836	0	0	0	0.95511	0	0.00039	0.01188	0	2.4015	2.57156	1.15925	2.64283	0.45333	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB75970	0.02379	0.21304	0.17222	0.36568	0.54175	0.99149	0.16027	0.06589	0.07263	0.34741	0	0.12043	0.14147	0.87541	0.45999	0.00231	0.0862	0.87889	0.2124	0.03502	0.38539	0.06397	0.23157	0.03367	0.09611	0.11187	0.34264	0.03116	0	0.04915	0.09412	0.11729	0	0.01294	0.17395	0.2852	0.03414	0.21439	0.01062	0.02896	0.01082	0.2773	0.17019	0.00592	0.4075	0.16981	0	0	0	0.04193	0.3012	0	0.11624	0.45519	0	0.18514	0.0173	1.27832	0.01784	0.17613	0.00722	0.35695	0	0.19183	0	0.23101	0.02828	0.02294	0.2197	0.4198	0.2256	0.36062	0.24001	0.07981	0.04596	0.18402	0.12939	0	0
k__Bacteria|p__Firmicutes|c__CFGB76071	0.02297	0.18249	0	0	0	0	0.58289	0	0.04302	0	0.33384	0	0	0	0	0.12418	0.12639	0	0.11183	0	0	0.22267	0	0.19462	0.07018	0	0	0	0	0.08754	0.19141	0	0	0.72893	0	0	0.08773	0	0.08015	0.20285	0.08022	0.11512	0	0.14339	0	0.03063	0	0	0	0.34268	0	0.63492	0	0.49002	0	0	0	0	0.55059	0	0	0	0.46237	0.00478	0	0	0.04341	0.82542	0	0	0.49488	0	0.05843	0.18743	0.01801	0.05755	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9644	0.01749	0.14919	0.02264	0.13859	0.11922	0	0.01269	0.40307	0.03319	0.33854	0	0.51031	0.10439	0	0.53882	0.002	0	6.89698	0.07619	0	0.61721	0.00744	0.07273	0	0.04971	0.06864	0.03097	0.47235	0	0.0099	0	0.12372	0.86736	0.09149	0.32764	0.28251	0.07102	0.16389	0	0.27154	0	0	0.04728	0	0	0	0.19827	0.10263	0.10655	0.00353	0.28223	0	0.72045	0	0.01871	0.10955	0	0.28396	0	0.1085	0	0	0.84638	0.24293	0.15222	0.19947	0	0.03893	0.25601	0.2935	0.02244	0.29489	0.40581	0.08679	0	0	0.35737	0.61417	0.18723
k__Bacteria|p__Firmicutes|c__CFGB9659	0.01626	0.10968	0	0	0	0	0.0254	0	0	0	0.21617	0	0	0	0	0.34639	0.42717	0.01332	0.00461	0	0	0.13636	0	0.60932	0.07955	2.36662	0.00327	0	0	0	0.21436	0	0.19098	0.00559	0	0	0.38178	0	0	0.49126	0	0.4146	0	0.53807	0.26067	1.54336	0	0	0.0303	0.49079	0	1.29634	0.07167	0.23277	0	0	32.11735	0.10866	0.44604	0	0.39474	0	0.61149	8e-04	0.0045	0	0.1079	0.69236	0	0	0.21637	0	0.00924	0.47244	0.36938	0.07516	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76355	0.0072	0.62237	0.00062	0	0	1.91834	1.4206	0	0.16645	0	0.12722	0.19003	0.20902	0	0	1.6956	9.23782	0.07666	0.09687	0	0.08515	0.70552	0	0.08887	0.03393	0.59999	0.12521	0	0	2.6171	0.29869	0.06521	0	0.44499	0.03893	0	1.53039	0	0	1.26668	1.53751	3.23362	0.01844	2.72307	2.40945	0.5229	0	0	0.3551	0.06149	0	0.17114	0.77811	0.37268	0	0.03641	0.03016	0	0.72652	0	1.20392	0	0.28494	0	0	0	0.34743	0.07688	0	0	0.70697	0	0.12605	1.06126	0.31786	0.16589	0.2482	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	41.26552	37.46714	49.29172	35.67693	41.27129	15.94733	25.97795	53.58698	42.31973	38.06532	23.30864	49.15696	47.88194	38.20548	34.66773	37.42402	23.80324	38.00576	25.62297	34.46218	29.3429	21.91322	58.7634	32.58346	43.43307	34.71576	50.73486	61.66892	52.02304	28.90418	32.23787	60.79425	39.96188	25.35536	36.25939	54.24011	33.57125	58.82303	56.90339	25.36168	20.56295	33.68767	35.59218	32.80544	21.9082	37.25103	43.469	53.6011	70.42048	35.54065	34.43959	20.77045	23.67939	31.49237	33.86755	36.51319	19.11303	34.11693	15.76877	37.9681	49.42702	58.73214	43.32494	44.39385	44.78218	35.33514	48.07371	38.01426	60.94518	47.54772	25.08203	59.87462	31.9453	33.23091	25.64652	27.50813	43.94021	58.64714	74.10897
k__Bacteria|p__Bacteroidetes|c__CFGB76719|o__OFGB76719	10.18042	0.69858	3.73642	0.01261	4.24471	4.17418	0.48148	0	0.21814	0	0.47233	5.15439	0	0	0	0.07014	0	6.72733	0.68131	0	1.47033	0.99333	2.73361	0.69385	0.90643	0.66939	0	4.63955	2.0064	0	0.44626	0	0	1.22438	0	0	0.48249	0	6.88816	2.08298	0	0	2.63963	1.51398	2.78273	2.42128	8.90046	6.0995	0	3.14367	0	0.00122	0.07792	0	7.53469	5.13935	0.17171	1.10381	0.51676	4.58865	0.43537	9.71012	2.66576	0.06339	0	0	0.4617	0.70063	2.03292	0	0	0.60009	3.7387	1.68937	0.91005	2.13322	7.29787	0	0
