taxonomy	C001	C008	C009	C010	C011	C014	C015	C016	C018	C019	C020	C021	C022	C023	C024	C025	C026	C027	C028	C029	C030	C031	C032	C033	C034	C035	C036	C037	C038	C039	C040	C041	C042	C043	C044	C045	C046	C047	C048	C049	C050	C051	C052	C053	C054	C055	C056	C057	C058	C059	C060	C061	C062	C063	C064	C065	C066	C067	C068	C069	C070	C071	C072	C073	C074	C076	C078	C079	C080	C081	C082	C084	C085	C086	C088	C089	C091	C092	C093
k__Bacteria|p__Bacteria_unclassified|c__CFGB76244|o__OFGB76244|f__FGB76244|g__GGB28967|s__GGB28967_SGB41678	0	0.01991	0	0	0	0	0.0258	0	0.04183	0	0.03886	0	0	0	0	0.27555	0.10194	0	0.05175	0	0.09208	0.00135	0	0.01183	0.01053	0.17297	0	0	0	0.10894	0.01685	0	0	0	0	0	0	0	0	0.05102	0.0393	0.01364	0	0.00133	0	0.0186	0	0	0.0445	0.00345	0	0.3948	0.01191	0.13309	0.00037	0	0.1093	0	0.05322	0	0.03199	0	0.01053	0	0	0	0.05591	0	0	0.00259	0.15933	0	0.11204	0.06954	0.05472	0.01979	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB6233|o__OFGB6233|f__FGB6233|g__GGB28804|s__GGB28804_SGB94880	0	0.01892	0	0	0	0	0	0	0	0	0.00642	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00174	0	0	0	0	0	0.00664	0	0	0.00075	0	0	0	0	0	0	0	0	0	0.00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__GGB24132|s__GGB24132_SGB35935	0	0.01826	0	0	0.2028	0	0.0252	0	0.03794	0.02871	0.04548	0.04137	0	0.05293	0	0	0	0.13108	0.20628	0	0.0854	0.00915	0.01629	0	0	0	0.03124	0	0	6e-04	0	0	0	0	0	0.00568	0	0	0	0	0	0.06165	0.00191	0	0.02975	0.01105	0	0	0	0	0.00881	0	0.15338	0.09727	0.02711	0.00392	0	0.02141	0.06867	0.01334	0	0.01089	0	0.08589	0	0.03412	0	0	0.00222	0.04232	0.03516	0.03388	0.1948	0.06374	0	0	0.03929	0.01094	0
k__Bacteria|p__Firmicutes|c__CFGB8118|o__OFGB8118|f__FGB8118|g__GGB29005|s__GGB29005_SGB41723	0	0.01795	0	0	0	0	0.00563	0	4.52204	0.00396	18.51503	0.21156	0.17926	0.03408	0	1.39299	6.8574	0.37429	0.22016	0	0.02769	7.50265	0.20661	0.72168	2.60726	0.04641	0.02117	0.01406	0	9.74083	2.03887	0.11068	0.05835	6.26699	0.09782	0	0	0	0	0.22689	8.3832	0.10212	0	0.63172	0	0	0	0	0	2.26614	0	0	0	0.11796	0	0	0	0	8.57902	0	5.6581	0	7.27417	0.27153	0.0424	0.017	6.5381	7.68778	0.12678	0.02285	0.05304	0.03752	0	0.02051	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76322|o__OFGB76322|f__FGB76322|g__GGB28958|s__GGB28958_SGB41667	0	0.01632	0	0.03302	0	0	0.08841	0	0.0698	0	0.1234	0.00544	0.00748	0	0.02187	0.09747	0.15165	0.01321	0.09098	0	0.0421	0.08804	0	0	0.11406	0.1324	0	0.00139	0	0.06152	0.05251	0	0	0.03266	0.00906	0	0.14122	0	0	0.1082	0.11996	0.20638	0.01636	0	0	0.05584	0	0.00125	0.00469	0	0	0.08066	0.0732	0.02205	0	0.01927	0.18921	0.5256	0.06664	0	0.03944	0.01058	0.06257	0.02566	0	0	0.10244	0.10395	0.01078	0.00762	0.20167	0	0.0189	0.02132	0.08912	0.14142	0	0	0.0194
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_1XD42_1	0	0.01339	0	0	0	0	0.12618	0	0.19506	0	0.04213	0	0	0	0	0.2588	0.62378	0.00257	0.65883	0	0.10034	0.12272	0	0	0.36127	0.62162	0	0	0	0.15989	0.19121	0	0	0.25991	0	0	0.58588	0	0	0.46972	0.05333	0.3993	0	0.03024	0.06434	0.17327	0	0	0	0.15783	0	0.19526	0.0485	0.38296	0	0	0.23042	0	0.5887	0	0.00636	0	0.21686	0	0	0	0.22069	0.40128	0	0	1.16224	0	0.21033	0.13868	0.23349	0.18123	0	0	0.05152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30451|s__GGB30451_SGB102185	0	0.01198	0	0	0	0	0.51229	0.00321	0.36791	0	0.27415	0	0	0	0	0.04568	0	0	0.09831	0	0.84859	0.48841	0.01312	0	0.04415	0	0.11274	0	0	0	0.0821	0	0	0.13857	0	0	0	0	0	0.05776	0	0	0	0	0.79188	0.1897	0	0	0	0.08526	0	0	0	0	0.00114	0	0	0	0.0964	0	0.05167	0	0	0.03076	0	0.22492	0.16257	0	0	0	0.48478	0	1.25148	0.24561	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76310|o__OFGB76310|f__FGB76310|g__GGB3171|s__GGB3171_SGB4185	0	0.00225	0	0	0	0	0.67609	0	0.20761	0	0.1344	0	0	0	0	0	0	0	1.29504	0	0.19852	0.13414	0	0	0	0.18622	0	0	0	0	0.05646	0	0	0	0	0	0.18478	0	0	0	0	0	0.00106	0	1.14636	0.52926	0	0	0	0	0	0	0.79486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9589|o__OFGB9589|f__FGB9589|g__GGB28829|s__GGB28829_SGB41485|t__SGB41485	0	7.03089	0.059	0	10.13271	0	0.33093	3.79644	4.91845	0.01337	1.34848	0.00505	0	0	0	0.03795	3.29838	0.11243	0.3752	0	1.30992	2.33909	0.03156	3.55472	0.21993	1.50437	7.95638	0.04629	0.02107	0.00213	6.02585	0.17809	0.01308	1.56857	0	0	4.68459	0	0	0.01143	0	4.33741	0.04082	0.65368	0	0	0	0	0.22952	0.86098	0	2.07307	1.17895	6.39446	0	0	0	6.07476	0	0	4.62995	0	0	4.96105	0	7.10189	3.22919	0	0	0.00065	0	9.71155	1.55849	2.48076	1.186	0.38432	12.21725	0.00512	0
k__Bacteria|p__Firmicutes|c__CFGB76288|o__OFGB76288|f__FGB76288|g__GGB28782|s__GGB28782_SGB41435|t__SGB41435	0	6.80671	1.62957	0.0058	0	0	0.15525	1.21866	1.75152	0	3.48809	0.0188	0.43907	0.00445	2.67874	3.62998	0.17485	0.14248	0.21321	0	0.07063	0.48688	0.70493	15.63297	0.89531	0.68196	0.87279	0.29087	0.04472	0.71045	6.50412	2.80021	0.06402	0.40462	1.68518	0	0.94751	0	0	0.19442	0.30737	2.03935	0.00471	0.44774	2.3278	0.61837	1.16977	0.10254	2.90001	2.39	0	0.45437	0.10927	0.09985	0.16918	0	0.10217	0.50861	0	0.23054	0.85756	3.55553	1.51896	0.06711	1.84732	0.66594	3.22998	1.10841	0.01599	1.40402	0.03257	0.00168	0.27762	0.81851	0.39653	1.09041	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28798|s__GGB28798_SGB41451|t__SGB41451	0	5.04835	0.01487	0	0	0.70049	0.04246	0.1001	0.12928	0	0	0	0	0	0.20253	2.13183	0.04272	0.06994	0.21841	0	0.09366	0	0	1.81348	9.52375	0.24382	2.06024	0.04186	0.00268	0.01049	5.01108	0.27901	0.03318	2.01342	0.00872	0	0	0	0	0	0	0	0	0.27067	1.01059	0.04365	0	0	53.57472	0.29335	0.12536	0.12112	0.0699	0.01374	0.02006	0	0	0	0	0	3.33817	2.20319	0	0.11804	0	0.57779	0	8.84868	0.11455	0.12195	0.63787	0.01005	0	0	0.09255	0.0208	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76539|o__OFGB76539|f__FGB76539|g__GGB28404|s__GGB28404_SGB40986|t__SGB40986	0	4.55677	0	0	0	0	0.39552	0	0.3494	0	0.3565	0	0	0	0	1.89709	2.12656	0.02975	0	0	0	0.6698	0	0.51843	0.34218	1.78726	0	0	0	3.12034	0.58622	0	0	3.07595	0	0	0.17422	0	0	0.17869	5.08321	2.10365	0.00094	0	7.09609	0	0	0	0	1.20432	0	0.69064	1.08732	0	0	0	0.08492	0	3.31444	0.06972	0	0	2.40291	0.04443	0	0	3.72317	6.22995	0.00516	0.00366	2.97067	0	0	0	8.40384	5.82126	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__Christensenella|s__Christensenella_SGB41486|t__SGB41486	0	4.52999	0.32818	0	0	0	0	9.59375	0	0	4.18725	0.46153	0.83288	0.01664	0	0	0	0	0	0	0.03975	0.52391	3.56221	0	0	0	0	0	0	0	2.11792	6.08437	0.02201	0	0	0	0	0	0	0	0	0	0.07987	0.01385	0	0.09862	0	0	0	0	0	0	3.38525	0	0	0	0	0	0	2.27446	5.5801	0.00971	0	0	0	0	0.00678	0	0	0	0	0	0	0	2.50891	3.67314	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_SGB5158|t__SGB5158	0	3.92333	0.01609	0	0	0.34697	0.67908	0.02794	1.19243	0	3.17868	0.00572	0.00267	0	0	9.37147	1.97371	0.35751	1.09223	0	0.05577	2.09021	0.06895	3.53858	0.2907	0.08829	0.0338	0.0167	0.00316	2.61212	5.51466	0.12748	0.05383	0.1527	0	0	4.22252	0.00189	0	16.11965	4.99006	2.14707	0.26179	5.22068	2.27653	0.11634	0.00202	0	3.42028	3.23732	0.00935	3.33873	0.02701	4.49767	0.00267	0	0.05796	0	0.49064	0	2.84534	0	4.56676	0.22137	0.01745	0.00125	0.29755	0.77337	0.00972	0.00736	4.79603	0.00443	0.72725	0.42125	6.6766	8.21018	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28996|s__GGB28996_SGB41712|t__SGB41712	0	3.66163	0.01511	0	0	0	0.68148	0.5922	0.24175	1.78146	1.38835	1.74488	0	0	0.30203	0.86235	1.30968	0.03301	0.52934	0	0.00076	2.64758	0.26771	3.07132	0.5156	0.94852	0.1494	0	0	5.68462	2.61696	1.10917	0.0334	1.8927	0.89748	0.53472	4.91249	0.89727	0.46998	5.2806	6.64638	2.25064	0.07423	0.53393	1.08833	2.50401	0	0	0.43228	1.77167	0.17964	4.54239	0.45322	0.25917	0	0	0	0	1.49143	0.76158	1.8666	1.22134	2.93012	1.45143	0	0.90093	4.81867	5.41218	0.01746	0.4619	2.49817	0.00832	0.49389	0.40051	4.6747	0	2.90027	0	0.14346
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium|t__SGB41675	0	2.98478	0.00549	0	0	0.00425	0.25644	0	0.12725	0	1.19145	0	0	0	0	0.69463	1.75574	0.06777	0.05524	0	0.27773	0.32357	0.00065	0.98218	0.503	0.35199	0	0	0	7.31155	3.02977	0.12134	0.03632	0.23528	0	0	0.16395	0	0	0.09972	7.3826	2.40644	0.00252	0.55509	0	0.11856	0	0	0.22917	2.84102	0	0.00278	0	1.36301	0	0	0.2707	0	0.074	0	0.56395	0.05204	0	0	0	0	0.92573	0.14046	0	0	0.04244	0.05096	0	0.68959	1.26446	0.53886	0	0	0.07114
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB28916|s__GGB28916_SGB41612|t__SGB41612	0	2.91193	0.00876	15.06139	0.16062	0.24403	0.06348	0.0079	0.1444	0.20785	3.56973	1.88189	14.55177	19.83091	0.56743	0.12967	0.02297	0.0381	0.07757	22.14493	0.17553	0.56817	0.05331	5.8361	0.17551	0.1775	9.45625	0.07215	3.73146	0.00656	0.06207	0.04157	8.89231	0.11888	0	0	0.03627	0	0.24333	0.00581	0	0	11.98734	0.02004	5.29549	0	0	5.21591	0.38729	0.00386	0	0.11953	0.51355	0.45629	14.53175	14.51606	0.06356	0	0	1.96252	0.00133	0.13423	0	0.1018	11.49524	20.86694	0.03029	0.39291	0.05092	0	2.82219	0.03741	0.03694	0	0.35906	0.00078	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB28398|s__GGB28398_SGB40979|t__SGB40979	0	1.81004	0	0	0	0	0.58352	0	0	0	0.65999	0	0	0	0	0.23882	0.40385	0	0.08468	0	0	1.70378	0	0.37007	0.66961	0	0	0	0	0.45486	0.98123	0	0	1.13799	0	0	0	0	0	0.76559	2.6029	0.83921	0	0.19124	0.11909	0.85198	0	0	0.02661	0.72445	0	0	0	0.1902	0	0	0	0	0	0	0	0	0.53206	0	0	0	0	0.82271	0	0	0	0	0	0	0	0	0	0	0
