taxonomy	C007	C008	C009	C012	C015	C016	C017	C020	C023	C025	C025_n	C025_r	C026	C027	C028	C029	C030	C030_r	C031	C033	C035	C036	C037	C039	C040	C042	C042_r	C043	C043_r	C045	C046	C047	C049	C050	C052	C053	C055	C057	C060	C061	C061_r	C063	C063_r	C065	C068	C070	C071	C072	C073	C075	C077	C079	C081	C082	C083	C084	C084_r	C085	C085_n	C086	C089	C089_n	C090	C093	C094	C095	C096	C097	C099	C100	C101	C102	C103	C104	C105	C108	C109	C110	C112	C113	C114	C115	C116	C117	C118	C119	C124	C126	C127	C128	C129	C133	C134	C135	C142	C143	C144	C145	C146	C147	C148	C149	C150	C151	C152	C153	C154	C155	C156	C157	C158	C159	C160	C162	C163	C164	C165	C166	C167	C168	C169	C170	C172	C173	C174	C175	C176	C178	C179	C180	C181	C182	C183	C184	C185	C186	C187	C188	C190	C191	C196	C197	C198	C199	C200	C201	C202	C203	C204	C205	C206	C207	C208	C209	C210	C211	C212	C213	C214	C215	C216	C217	C218	C219	C220	C221	C222	C223	C224	C225	C226	C227	C228	C229	C230	C232	C233	C234	C235	C237	C238	C240	C241	C242	C243	C244	C245	C246	C247	C248	C249	C250	C251	C252	C253	C254	C256	C257	C259	C260	C261	C262	C263	C264	C265	C266	C267	C268	C269	C270
k__Bacteria|p__Bacteroidetes|c__CFGB635	0.04831	0.09996	0.02104	0.23444	0.10959	0.03139	0.07036	0.55418	0.09012	0.01524	0.00134	0.01551	0.22478	0.03198	0.08649	0	0.07213	0.07407	0.06566	0.0716	0.09555	0.06632	0	0.03662	0.07925	0	0	0.05323	0.04867	0.05156	0.12352	0	0.02158	0.03925	0	0.06114	0.05938	0	0.0037	0.49031	0.50035	0.46132	0.45177	0.02882	0.16705	0.02362	0	0.12677	0.0257	0.00631	0.15979	0.031	0.03839	0.13649	0.00945	0	0	1.00278	0.67472	0.5927	0.15544	0.14634	0.00531	0	0	0.09878	0.17254	0.15892	0.11745	0.04874	0.03808	0.08082	0	0.0559	0.06911	0.02238	0	0.15733	0.10909	0.01077	0	0.15655	0.58428	0	0	0.09137	0	0.04953	0.1076	0.03592	0.07296	0.17167	0.03656	0.04096	0	0.12749	0.15975	0	0.1554	0.05926	0.19989	0.18121	0.04894	0.03449	0.00099	0	0.14617	0.12928	0.02773	0.00565	0	0.03203	0	0.00751	0.01976	0.00825	0.02458	0.19736	0.06661	0	0.27301	0.01473	0	0.27727	0.4921	0.04921	0.22176	0.1583	0.39612	0.05552	0.08163	0.08964	0.02165	0.218	0.02982	0.4789	0	0.24277	0.00999	0.04495	0	0.08364	0.16559	0.18656	0	0.04694	0	0.01379	0.03878	0.00027	0.00248	0.07353	0.09421	0	0.29093	0.13542	0.07703	0.00733	0.00797	0	0	0.02446	0.19155	0.10744	0	0.16168	0	0.04341	0.02417	0.32474	0.32253	0.01688	0.02323	0.04027	0.03274	0	0.02059	0.09097	0.06571	0	0.0086	0	0.04932	0.12287	0.05025	0.21521	0	0.07731	0.11474	0.00629	0.57145	0.03687	0.17742	0.14023	0	0.03708	0	0.00282	0.09191	0	0	0.21073	0.1742	0	0	0.01479	0.19692	0.00215	0	0
k__Bacteria|p__Firmicutes|c__CFGB48875	0.03341	0	0.02359	0.04019	0.01652	0.01016	0	0	0	0	0	0	0.01627	0.03076	0	0	0.01867	0.01552	0.07982	0.063	0.08653	0.00984	0	0.10409	0	0	0	0.01993	0.01426	0.04962	0.0564	0	0.07583	0.09857	0	0.37434	0.06074	0	0	0	0	0	0	0	0	0	0.05224	0.17989	0	0	0.12122	0.06146	0.04828	0.17815	0	0	0	0.03343	0.04839	0.03462	0	0	0.05647	0	0.04047	0.00471	0	0	0.07379	0.03355	0.04771	0.08087	0	0.10428	0	0.01181	0.06921	0.01148	0.05998	0	0.02233	0.0276	0	0.00457	0.0996	0.0519	0.00916	0.03937	0.03863	0.17889	0.03815	0.12698	0.0367	0	0	0	0	0	0.01553	0.15442	0.10957	0	0.04449	0	0.06336	0	0.02291	0.00594	0	0	0	0.11352	0.53498	0.06646	0	0.05108	0	0.08744	0.02768	0.02575	0.04126	0.06371	0	0.03999	0.07278	0.02083	0.11054	0.03901	0.1245	0.16747	0.11381	0	0	0.072	0.03771	0.07382	0.00738	0	0	0.09776	0.01066	0	0	0.03971	0	0.16451	0.00902	0.01568	0.08318	0	0	0.06753	0	0	0.16926	0.01038	0.07726	0.07044	0	0.14106	0	0	0	0.03644	0.01368	0	0	0.12548	0	0.10277	0.03306	0.0061	0.02446	0.09804	0	0.13027	0.09575	0.15245	0	0	0.03316	0	0.05157	0.09687	0.02544	0.07073	0.04738	0.17609	0.15534	0	0.10691	0.02356	0.12307	0.07455	0.20611	0.13023	0	0.00491	0	0	0	0	0.02604	0.02693	0.01346	0.08324	0.12956	0.03634	0.03267	0.04571
k__Bacteria|p__Firmicutes|c__CFGB49426	0.027	0.2945	0.00857	0.4772	0.67126	0.1259	2.51192	1.22004	0.02293	1.7611	1.59925	1.80655	1.07092	0.01775	2.6103	0.08414	0.59509	0.54376	0.45271	0.71202	0.43847	0.51868	0	0.71679	0.52865	0.00486	0	0.45192	0.46093	1.18934	0.17759	0.0502	0.77306	1.27097	0.18302	1.31167	1.17815	0	0.06981	0.2584	0.26142	0.06615	0.05251	0.3887	0.36815	1.23038	0.01204	0.11255	0.38594	0.04275	1.48989	0.65621	0.05205	0.16522	0.06463	0.73592	0.7304	0.78851	1.00786	0.65967	2.01174	2.6064	1.18681	0.00761	1.92294	0.06499	0.63287	0.72774	0.97114	0.6216	0.39538	0.56541	0.73051	0	0.66944	1.35095	0.28231	0.61581	0.35263	0.01033	0	0.55975	0	0.05772	0.00946	0.96868	0.55905	0.20736	0.32631	2.81038	4.97173	1.59693	3.2285	0.5175	0.57946	0.20194	0.96334	0.01967	0.29541	1.33006	0.85349	0.01728	0.56921	0.81782	0.55353	0.00036	1.01519	0.82042	1.42174	0.01135	0.49216	2.73915	0	0.00218	0	0.05114	0.0019	1.45794	0.76199	0	0.99773	0.03239	0	0.31275	1.0959	0.63019	0.38106	0.41369	0.83096	1.25956	0.34793	1.60926	0	0.7232	0.04981	0.60432	0	0.5306	0.55193	1.81053	0.00046	1.67756	0.50203	1.27806	0.26657	3.64129	0	2.58583	1.87807	0.01846	0.05045	0.30775	1.56808	0	0.46426	0.93181	1.25174	0.01491	0.47177	4.3269	0.07608	2.83145	1.29956	0.815	0.02931	0.8271	0.16663	1.02845	1.26585	1.01469	0.4069	0	0	1.78182	0.365	0	0.24835	0.02922	3.70732	0.00125	0.10847	0.337	1.31482	0.69842	0.02518	0.47956	0.033	0.12642	1.0938	0.25275	0.3032	0.84101	0.7833	0.41716	0	0.19974	1.02692	0.17638	1.25248	0.04227	0	1.21273	0.30948	0.00348	0.02516	0.41915	1.53129	0.00853	0.06782	0.05792
k__Bacteria|p__Firmicutes|c__CFGB28980	0.01767	0.06901	0.03355	0.00729	0.04096	0.00669	0.22214	0.04982	0	0.09596	0.14342	0.08188	0.02084	0	0.0331	0.0115	0.08305	0.07238	0.00926	0.0142	0.05806	0.00959	0.03305	0.14572	0.1619	0	0	0.05863	0.04763	0.03632	0.015	0.25299	0.13676	0.0722	0.04784	0.0888	0.04469	0	0.03735	0.04488	0.02089	0.03302	0.03368	0.00787	0.01742	0.02974	0.02023	0.01649	0.01278	0.01955	0.03974	0.03331	0.08667	0.18078	0	0.00425	0	0	0	0	0.05727	0.06727	0.04219	0.08236	0.09772	0.01251	0.03837	0.10454	0.02093	0.06909	0.0174	0.03567	0.09248	0.07956	0.05609	0.69781	0.03426	0.01612	0.07526	0.02842	0.04583	0.00892	0	0.00972	0	0.10014	0.02586	0	0.15805	0.14894	0.20226	0.0174	0.06722	0.05414	0.05255	0.01138	0.02096	0.05685	0.0432	0.01713	0.0211	0	0.02986	0.01139	0.00243	0.02172	0.00581	0.02453	0.01826	0.04005	0	0.00913	0	0	0	0.0597	0.01457	0.02702	0.00428	0	0.00263	0	0	0.1175	0.01572	0.03559	0	0.01573	0.00905	0.08295	0.01905	0.02537	0.0296	0.07912	0.11349	0.12042	0.0732	0.07499	0.01996	0.03816	0.02687	0.06878	0.02935	0	0.02768	0.13897	0.04062	0.16407	0.04241	0.01056	0.07435	0.10789	0.06392	0.1362	0.05555	0.02128	0.03499	0.20372	0.07313	0.18995	0.0749	0.12413	0.03251	0.01569	0.02603	0.07187	0.1457	0.03055	0.01938	0.08548	0.00997	0.04674	0.02101	0.06297	0.07305	0.04951	0.06376	0.01003	0.13849	0.05719	0.07751	0.09748	0.00786	0.06334	0.02782	0.0984	0.03728	0.22627	0.01865	0.04616	0.09782	0.02282	0.09998	0.09084	0	0.03888	0.00135	0.04278	0.03948	0.09273	0	0.01578	0.00202	0.07073	0.01115	0	0.02424	0.17315	0.02198	0.07974
k__Bacteria|p__Firmicutes|c__CFGB1814	0.01684	0.02027	0.00048	0	0.01682	0	0.01612	0.02201	0.0262	0.01874	0.03141	0.01817	0	0.01774	0.01378	0.01035	0.06254	0.05319	0.05366	0.01575	0.03074	0	0.03508	0.0285	0.00985	0	0	0.04239	0.03958	0.04764	0	0.03993	0.04932	0.03437	0	0.05901	0.03434	0	0	0	0	0	0	0	0.00168	0.03887	0	0.02806	0.06605	0	0.0198	0.02005	0	0.07358	0.06167	0.17813	0.08616	0.02599	0.03744	0.03081	0.17836	0.19963	0.02195	0	0	0	0.04647	0.05841	0.09018	0.02844	0.02588	0.14457	0	0.15054	0.04349	0.24664	0	0.01222	0.0718	0	0	0	0	0	0.0101	0	0.1441	0.01253	0.09138	0.05375	0.06545	0	0.02438	0.01953	0.01157	0.02652	0.02702	0.03537	0.04559	0.02831	0.03833	0.02772	0.03319	0.05571	0.06502	0.1221	0.03319	0.0091	0.01666	0.00431	0.03305	0.02209	0	0	0	0.02395	0	0.08105	0.094	0	0.01795	0.09535	0	0.04496	0	0.0821	0.0459	0.02919	0.05388	0.03453	0	0.03445	0	0	0	0.12388	0.00188	0.04177	0.03208	0.03543	0	0.04088	0.04336	0.0572	0	0.11125	0	0.02272	0.01948	0.01524	0.07389	0	0.03293	0.11801	0	0.08017	0.04062	0.04084	0.02342	0	0	0.00368	0.0353	0.04242	0.13657	0	0	0.02577	0.01044	0	0.03228	0	0	0.17248	0.07232	0.01546	0.07014	0	0	0	0.07111	0	0.02925	0	0.02579	0.02838	0.01443	0	0.03646	0.20415	0	0	0.00786	0.02364	0.09496	0.10639	0	0	0	0	0	0.0391	0	0.0628	0	0.04277	0	0.08661	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB9397	0.00978	0.39596	0.00947	0.19876	0.11252	0.00412	0.03192	0.06695	0.00913	0.03898	0.00198	0.0352	0.04897	9e-04	0.07269	0.01559	0.08588	0.07479	0.046	0.14065	0.03612	0.03624	0	0.04202	0.62682	0	0	0.07346	0.06259	0.02813	0.1498	0	0.0096	0.02907	0.00655	0.05197	0.04478	0	0.02568	0.38535	0.36051	0.17916	0.17466	0.02534	0.29053	0.15649	0	0	0	0	0.14398	0.00534	0.02434	0.47982	0.02813	0	0	0.08514	0.0612	0.02254	0.05965	0.02725	0.02442	0	0	0.0915	0.10547	0.02011	0.1221	0.02262	0.04201	0.09214	0	0	0.05475	0.02528	0.03078	0.1136	0.06208	0	0	0.1018	0	0.11286	0	0.03775	0	0.03875	0.39636	0	0.00852	0	0.09876	0.02991	0	0.08001	0.04077	0	0.11781	0.02762	0.20126	0.00697	0.05434	0	0.0028	0	0.01155	0.02318	0.04438	0	0	0.02352	0	0	0	0.0031	0.00217	0.06758	0.06464	0	0.16722	0.03143	0	0.08357	0.45311	0.02601	0.06482	0.00249	0.46757	0.05591	0.16391	0.09933	0	0.29336	0.01936	0.00505	0	0.10705	0	0.05175	0	0.04379	0.06628	0.00938	0	0.05818	0	0.00944	0.0457	0	0	0	0.03698	0	0	0.20346	0.00655	0	0	0	0	0.00869	0.03919	0.05339	0	0.2222	0	0.03627	0.04967	0.17207	0.01517	0	0.05532	0.06708	0.77489	0	0.0329	0	0.01392	0	0	0	0.07286	0.10881	0	0.10964	0	0.11961	0.0342	0.02909	0.18591	0.12736	0.06316	0.11786	0	0.0205	0.07888	0.31529	0.02704	0	0	0.03589	0.18626	0	0.01324	0.0223	0.08147	0.01872	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.00289	0.07066	0.03365	0.07884	0.04564	0.0182	0.0777	0.05208	0.00178	0.01014	0.01283	0.01139	0.04511	3.16161	0.21702	0.01517	0.15409	0.15257	0.02871	0.01779	0.29784	0.16489	0	0.03751	0.12505	0.05452	0.05757	0.06768	0.05876	0.01288	0.13037	0.00607	0.08495	0.0244	0.04099	0.05641	0.01256	0.01482	0	0.03866	0.03034	0.01802	0.01698	0.06825	0.13194	0.09315	0	0.22138	0	0.04167	0.12026	0.04743	0.00084	0.04594	0	0.01693	0.00809	0.24474	0.24514	0.09378	0.09518	0.11472	0.11936	0.00342	0.10132	0.16404	0.05599	0.08368	0.18615	0.14677	0.11427	0.01153	0.02084	0.06817	0.00711	3.12291	0	0.09205	0.03923	0.15922	0	4.12294	0.21177	0.29253	0.00274	0.30046	0.01623	0.08981	0.02008	0.09335	0.18717	0.00895	0.0181	0.01471	0.11175	0.02511	0.08934	0	0.02134	0.08281	0.03332	0	0.13219	0.00013	0.17005	0.07642	0.04231	0.09436	0.07352	0	0	0.11461	0.01676	0	0.09656	0	0.20227	0.21875	0.17627	0.00884	0.03913	3e-04	1.14919	0.01256	0.06583	0.05306	0.35775	0.01239	0.04852	0.21344	0.02042	0.09166	0	0	0	0.05157	0	0.12374	0	0.04492	0.12209	0.01659	0.12504	0.0038	0	0.07317	0.01943	0.15691	0.01347	0.01422	0.01987	0.06696	0.02728	0.29533	0.03567	0.02304	0.05998	0	0.01878	0.11195	0.01807	0.04256	0.07182	0.08572	0	0.15257	0	0.03146	0.11895	0	0.44208	0	0	0.04467	0.03072	0.0115	0.00407	0.14941	0	0.04903	0	0	0.05632	0.02001	0.08094	0.05051	0.1782	0.37156	0.08498	0.03257	0.09756	0	0.12542	0.04548	0.09833	0.10159	0.02704	0.02617	0.10095	0.00731	0	0.07863	6.12109	0.01476	0.00315	0.08683	0.27527	0	0.03511	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76311	0.00269	0.32283	0.00479	0.28955	0.09198	0.00094	0.1456	0.34005	0.03037	3.44651	6.3309	3.88199	0.08093	0.02179	0	0.00245	0.00296	0.00224	0.50613	0.08543	0.32695	0.02235	0	1.30375	0.59108	0	0	0.21117	0.22524	0.85137	0.23889	0	0.35141	0.56064	0	0.30191	0.7483	0.01398	0.00313	0	0	0.12565	0.13006	0	0	0.1545	0	0	0	0	0.08184	0	0.00038	0.07309	0	0	0	0.06942	0.08896	0.06291	0.04741	0.0566	0.06819	0.07818	0.02744	0.05232	0.0908	0	0.02928	0.39969	0.25847	0.17282	1.21743	0	0.18913	0.10868	0	0.02074	0.37903	0	0	0.08498	0	0	0	0.02091	0	0	0.18164	0.10139	0.35333	0.75688	0.34443	0.22232	0.50164	0	0	0	0.17386	0.10712	0	0	0.04947	0	0	0	0	0	0	0	0	0.38508	0	0	0	0.00041	0.09352	0.0794	0.13823	0	0.1595	0	0	0.30044	0.26929	0.00919	0.00469	0	0	0	0	0.66187	0	0.11682	0	0.29716	0	1.20813	0.00872	0.11067	0	0.15173	0.43499	0	0	0.09532	0	0	0.49535	0	0.00258	0.08054	0.02552	0	0.35861	0.00798	0.11956	0.01385	0	0	0	0.61947	0.18882	0.34639	0.02918	0.28502	0	0.48464	0.15646	0.0062	0.07923	0	0	0.13222	0.71923	0	0	0.03796	0	0	0.03134	0.02176	0.08059	0.12986	0	0.36982	0	0.22033	0.05757	0.0165	0.09468	0	0.28721	0.29442	0	0	0	0	0.06358	0	0	0.41367	0.14774	0.00658	0	0.01182	0.30486	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313	0.00033	0.75106	0.01869	0.51481	0.1665	0.02725	0.57878	0.50962	0.00826	0.5186	0.64977	0.51636	0.35938	0.15206	0.88276	0.03079	0.205	0.20335	0.26302	0.35384	0.24858	0.04918	0.04003	1.47514	0.75925	0.23312	0.27084	0.63948	0.69083	0.73804	0.15065	0.02365	0.21022	1.33069	0.1008	0.49975	0.69452	0.04055	0.01275	0.52125	0.5191	0.14161	0.14462	0.11125	0.44472	0.5229	0.29643	0.34672	0.05107	0.01235	0.21857	0.63327	0.03918	0.31915	0.10886	0.05955	0.04153	0.13827	0.20218	0.33453	0.90382	1.04535	0.23028	0.09017	0.33713	0.01302	0.22192	0.53798	0.26622	0.36657	0.79773	0.20392	0.16818	0.05896	1.10641	2.51779	0.10075	0.26718	0.31695	0.21944	0.0045	0.54839	0.02609	0	0.09514	0.68918	0.10517	0.52767	0.15509	1.46525	0.89483	0.17658	2.43578	0.94449	0.04495	0.25245	0.74365	0.17534	0.59915	0.99077	0.97222	0.04813	0.35131	0.05606	0.06498	0.15773	0.64096	0.14415	1.29699	0.04974	0.08342	0.44269	0.18275	0.02091	0	0.03233	0.10266	0.45508	0.16188	0	0.55426	0.10598	0	0.45081	0.57743	0.37762	0.47663	0.08179	0.58552	0.70094	0.50974	0.54606	0.00096	1.43364	0.07172	0.50128	0.04803	0.31512	0.16924	1.14666	0.3062	0.8522	0.51361	0.0182	0.47362	0.70124	0	0.2656	0.8186	0.03173	0.10811	0.69565	0.4836	0.11842	0.53232	0.32588	0.91858	0.01659	0.04511	1.65391	0.45726	0.75652	1.78458	0.42755	0.00106	0.19017	0.17752	0.69753	1.37532	0.67709	0.58721	0.01104	0.12271	0.21415	0.68413	0.01129	0.18826	0.01961	0.00277	0.07102	0.11455	0.00486	0.66927	0.49981	0.02329	0.53186	0	0.33307	0.80217	0.15152	0.48424	0.06762	0.3476	0.21225	0	0.00669	0.02965	0.01042	0.21665	0	0	0.81471	0.26336	0.16122	0.01117	0.63294	2.08691	0.02283	0.16637	0.09187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	30.68199	26.08978	24.27258	22.16853	20.64035	42.2262	23.02057	33.31476	16.35671	28.83956	34.20502	29.5265	34.47746	19.14984	23.06727	34.47542	37.09759	37.99288	34.08566	35.58784	20.02572	45.46147	34.5476	28.56313	22.45345	19.8145	20.46968	34.12577	33.98939	38.05044	18.39354	38.90089	24.26714	27.15181	29.65252	29.74284	37.33716	41.49404	32.63583	31.24635	33.76059	26.32944	26.94218	23.29154	10.91177	41.30931	44.12246	39.07956	31.53754	58.3094	24.91164	30.43975	35.55471	23.55949	38.36534	40.66971	38.10636	21.61074	20.45134	18.93572	31.82972	35.07557	19.19153	56.41795	35.25811	41.73177	29.51734	29.28552	24.63645	30.96059	26.38694	29.84527	34.61085	36.91398	29.90913	22.11842	38.71905	20.31044	29.89998	42.55683	28.41223	27.26926	18.29855	25.3318	34.06691	32.95094	34.63607	26.08525	22.54545	37.24919	23.97349	35.84583	25.45189	24.21991	32.01584	34.94817	18.71452	54.39016	29.49081	21.92553	28.88942	30.41845	28.09307	47.54803	39.30321	41.92778	24.83501	25.62533	31.50296	35.05617	35.181	22.78802	31.49305	24.8231	20.73402	31.24708	41.06424	37.81096	19.69726	33.34869	21.71916	31.4608	0.49632	28.41899	24.1163	21.19647	40.2332	40.37297	34.05342	24.84564	32.93155	29.7323	37.32002	34.62331	39.11189	30.779	35.33437	27.79196	40.97272	22.64947	40.74519	25.16734	26.38912	40.53861	46.631	33.80369	34.50671	22.09408	24.09908	34.86438	46.5403	30.97698	31.11632	57.95633	27.6964	24.6609	37.37083	39.17374	34.18156	39.2078	46.6417	32.42898	18.52305	20.66238	41.8114	15.37878	35.94432	25.62678	23.30885	28.2509	22.91374	36.96079	38.77236	37.51435	26.64244	40.64469	39.39327	32.21141	38.61496	44.98046	41.79307	34.59093	17.50209	34.73424	32.0191	23.27207	28.70773	24.43623	28.4345	46.03471	20.49994	37.70574	33.47062	24.6058	22.16691	39.15746	45.08186	42.16032	22.7279	38.77063	47.04676	24.92246	15.48153	47.96321	30.18144	37.12598	30.8512	49.58002	50.08486	43.8533
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	26.53538	18.64386	12.42153	28.07913	29.11708	14.2936	9.63941	17.26629	42.07232	10.25357	4.00634	10.04237	27.96453	34.29814	40.31703	18.52822	25.91128	25.26254	11.81666	18.09839	31.4309	12.497	6.12953	14.56104	25.57388	53.47803	51.2959	9.29047	9.19034	15.64503	39.24547	4.126	11.07222	15.92177	18.59229	15.69632	17.33779	7.27838	18.1936	31.24994	29.04878	22.65805	21.41672	29.9194	66.86156	17.18278	11.42379	13.33167	25.55276	1.69232	21.12931	9.63768	20.00516	24.06539	30.81566	13.34657	15.81819	45.53169	44.88088	42.39472	26.03785	24.05771	23.9754	7.20242	25.47157	18.4014	24.27434	26.87628	33.97848	16.64649	16.64397	12.69034	10.7852	15.16312	18.36843	11.55916	26.13852	30.25914	24.76388	20.77134	10.23416	44.02849	51.96189	38.902	18.02051	15.1784	11.43993	26.20597	25.43615	9.73095	10.14783	33.56841	25.56887	25.8058	12.91406	20.03819	30.30667	15.69793	26.38043	22.2196	25.11173	20.66786	31.22045	13.12196	15.99695	10.7457	25.11727	23.91736	28.98184	18.67915	16.79408	13.60286	20.94383	14.85585	30.81967	18.05771	8.39784	26.13741	38.21601	24.28236	35.20477	43.62477	54.86166	24.7184	36.75366	29.69897	21.96348	14.35834	27.23002	22.97097	30.36229	26.04024	15.09858	27.87595	17.66518	21.0177	14.73988	32.14296	16.56108	25.74547	7.64102	39.90732	23.91425	6.91506	21.29409	16.16487	19.66875	21.04297	25.1537	11.36388	10.3193	18.28642	24.0014	7.37871	29.64109	27.86088	15.21091	17.01275	9.18666	8.47241	8.05266	11.41108	35.90797	31.54157	14.19263	38.59956	13.83468	22.0463	39.40822	29.30427	22.3569	8.48071	26.63843	13.47078	19.71699	6.1954	21.65728	28.17182	12.48507	10.67989	23.85033	4.31024	40.78544	25.68623	6.18291	31.76153	20.63553	30.42982	25.04166	8.37732	31.27938	17.02577	28.38729	18.25238	38.07138	30.71375	30.10363	23.10675	44.63197	14.42736	26.77273	34.22056	48.29868	4.81937	22.74287	30.14503	18.82985	9.89027	3.60725	16.76179
k__Bacteria|p__Bacteroidetes|c__CFGB76719|o__OFGB76719	10.00037	1.44279	2.91287	1.02341	0.57635	0	0	1.29609	0	0.17485	0.04637	0.17697	0	5.24003	0.12755	0.00039	0.41242	0.38778	0.41054	2.65541	0.75591	0.00926	5.57836	0	1.46857	0.00568	0	1.29726	1.30827	0.50103	0.22149	0	0.87486	0	5.0342	0.359	0.56037	5.38267	0.00235	0.00084	0	0	0	10.5639	0.42807	0.79212	16.16864	2.45954	0.01077	0.14075	0	0.99361	0.03916	0.00313	0	5.09726	6.0598	1.61236	1.65525	0.50952	1.2778	0.72998	0.70397	0.0155	1.03778	0	4.6118	2.65102	0	1.66705	1.16541	3.10375	0	8.82036	0.26204	0.03235	6.28876	5.16756	3.31715	8.25172	7.70555	0	0.30621	0	13.50934	0.43136	2.71473	1.85446	0	0	0.21885	0	0.22439	0.86871	1.37277	0.68041	1.08999	0	0	0.85927	5.97714	5.52461	0	4.86129	2.60716	10.47917	0.45624	0.67525	0.61509	0	6.58576	1.03738	3.63085	1.76496	3.5265	8.80404	1.81364	0	3.0963	0.00239	0	0.00169	0	0	3.49573	2.5831	0.43965	16.06922	1.26269	0.69246	0	3.67484	9.93368	1.17942	0.01459	0	0.7286	0	2.36941	0.72366	6.36533	0.49216	5.41538	4.47818	0	1.04622	8.94643	0.66898	0.43096	6.77608	1.72318	0	0.55171	0	0	0	0	0	1.50342	0	2.99942	0.36964	0.65171	0.77131	2.62414	3.37239	4.11336	0.52267	0.61943	4.60038	2.82753	6.10157	6.56935	0.56457	1.20165	0.0444	1.12394	4.86081	0	0	0	0	0.18314	0	4.40709	0.28402	12.94691	2.32874	1.55507	0.0039	0	0	0.93545	0	2.77407	0	0	0	1.15755	2.86655	2.2789	1.1531	0	1.94833	4.50794	1.56367	0.03547	0	0.15933	4.56824
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	7.48155	6.69446	8.4723	7.25096	3.18442	2.73061	1.97113	3.21044	7.1667	4.09018	10.77637	4.06091	3.8464	9.72638	1.5243	5.16225	1.659	1.71913	3.35798	4.92628	9.4819	6.55752	6.13072	6.60676	8.47506	2.7936	3.04947	3.07927	3.20226	2.37747	3.49821	0.84922	15.52245	6.28202	0.33651	6.84699	2.52155	11.1793	0.26449	2.06818	1.94896	9.10916	9.62432	1.43801	1.75591	6.73358	5.29196	7.34943	4.66614	2.13597	9.1484	1.93728	8.80689	6.36474	7.10255	3.9735	5.25207	1.74274	2.02351	1.52764	3.68159	2.38892	11.83516	1.67446	3.25291	6.73307	6.66017	5.92449	2.5825	8.97175	8.76639	5.40656	5.81707	5.45629	3.50587	8.5411	5.99278	7.49962	6.47338	1.06165	7.10903	0.40666	2.43252	0.277	5.56979	3.41869	4.99172	2.69327	9.94791	4.90278	7.68036	0.57365	6.29439	3.7349	6.99405	3.84995	8.30207	3.57373	3.7669	6.04568	3.8411	3.80209	10.72204	5.65805	10.82863	6.10377	1.15914	3.8494	6.61052	5.71078	4.15903	12.61716	4.48509	4.95721	7.11582	7.27792	9.29796	3.80797	1.76519	8.14443	8.3491	6.99568	12.72035	5.17909	5.93317	7.40635	7.94692	2.52953	6.78855	2.63123	5.46945	3.50677	4.39582	3.23132	6.15159	7.77802	8.27291	1.30736	7.36466	1.30788	9.87175	4.23571	9.41517	2.31506	8.38621	1.67507	7.98076	6.6416	10.52988	4.27679	2.85428	4.95438	5.10346	8.13396	4.53488	4.13692	8.88714	5.43077	4.99988	1.67893	6.2007	16.85065	3.76546	6.74201	4.58206	9.53803	5.75654	3.87522	4.24243	4.59942	5.9777	8.85941	8.63544	6.55626	4.30676	0.28663	6.30272	7.32967	6.77883	8.84105	5.06578	6.8574	1.27346	6.15967	6.29341	4.44002	6.19081	7.78373	6.20121	3.71192	4.90125	9.25943	7.31269	7.944	5.53546	3.54209	0.33929	0.30874	4.9618	7.0569	8.55378	0.65905	0.23006	4.61015	6.75841	3.48972	4.1203	5.06953	3.02563	4.63462
